,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,REGION,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,ADM_RATE,SATVR25,SATVR75,SATVRMID,SATMT25,SATMT75,SATMTMID,SATWR25,SATWR75,SATWRMID,ACTCM25,ACTEN25,ACTMT25,ACTWR25,ACTCM75,ACTEN75,ACTMT75,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG_ALL,PCIP11,PCIP14,PCIP15,PCIP26,PCIP27,PCIP40,PCIP41,CIP11BACHL,CIP14BACHL,CIP15BACHL,CIP26BACHL,CIP27BACHL,CIP40BACHL,CIP41BACHL,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,PFTFAC,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,DEP_INC_AVG,IND_INC_AVG,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FEMALE_RPY_3YR_N,MALE_RPY_3YR_N,MALE_RPY_5YR_N,FEMALE_RPY_5YR_N,MALE_RPY_7YR_N,FEMALE_RPY_7YR_N,FEMALE,UGDS_MEN,UGDS_WOMEN
0,Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,10.0,13.0,,0.6538,383.0,470.0,427.0,360.0,480.0,420.0,370.0,457.0,414.0,16.0,14.0,15.0,,19.0,20.0,18.0,,18.0,17.0,17.0,,850.0,0.0634,0.1432,0.0587,0.1009,0.0094,0.0188,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4505.0,20809.0,,9366.0,17136.0,7017.0,0.7096,0.3081,,0.3303,,0.375,0.3091,0.0,0.0,33295.637228,8487.4347826,16000,13750,1461,1370,1087,1157,1100,1184,0.5472427116,0.4617,0.5383
1,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,15.0,9.0,15.0,,0.6043,520.0,630.0,575.0,520.0,668.0,594.0,,,,22.0,22.0,19.0,,28.0,30.0,26.0,,25.0,26.0,23.0,,1147.0,0.0133,0.0577,0.0,0.0715,0.0124,0.0174,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,11269.0,22232.0,,7766.0,17654.0,10221.0,0.9081,0.5462,,0.5504,,0.5536,0.4721,0.5946,0.7722,60411.66406,29795.357579,14750,13750,3181,1766,1435,2664,1221,2401,0.6369683532,0.4116,0.5884
2,Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,2,5,21.0,5.0,6.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,12133.0,,6900.0,6900.0,3217.0,1.0,0.4,,0.3333,,0.6667,0.0,0.0,,25829.65625,18765.062241,12500,9500,269,160,134,178,116,170,0.6043956044,0.4286,0.5714
3,University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,15.0,9.0,12.0,,0.812,520.0,650.0,585.0,550.0,680.0,615.0,,,,24.0,24.0,24.0,,30.0,32.0,29.0,,27.0,28.0,27.0,,1221.0,0.0315,0.3027,0.0,0.0712,0.0198,0.0216,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5829.0,20999.0,,9128.0,20622.0,9514.0,0.6173,0.4935,,0.4776,,0.5214,0.3558,0.28,0.5333,68369.367666,25075.698438,15958,14316,1290,1067,973,1077,814,979,0.4779208832,0.574,0.426
4,Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,10.0,13.0,,0.4639,370.0,450.0,410.0,360.0,460.0,410.0,,,,16.0,14.0,15.0,,19.0,19.0,17.0,,18.0,17.0,16.0,,844.0,0.0567,0.0,0.0,0.0794,0.0302,0.0265,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4740.0,18100.0,,8720.0,15656.0,7940.0,0.6395,0.2696,,0.2663,,0.0,0.2719,,1.0,34650.751743,6715.964497,16639,14250,1878,1468,1348,1710,1389,1693,0.612294094,0.385,0.615
5,The University of Alabama,Tuscaloosa,AL,35487-0166,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,16.0,14.0,16.0,,0.5359,490.0,600.0,545.0,490.0,610.0,550.0,480.0,600.0,540.0,22.0,22.0,21.0,7.0,31.0,32.0,29.0,8.0,27.0,27.0,25.0,8.0,1181.0,0.0067,0.0788,0.0,0.0378,0.0083,0.0095,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,31005.0,27205.0,,10170.0,25950.0,9710.0,0.7187,0.6709,,0.6638,,0.6894,0.5455,0.5926,0.6806,99525.253267,30580.381215,17750,16500,4019,3365,2795,3287,2090,2654,0.607564495,0.4525,0.5475
6,Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0189,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.0,11475.0,,4320.0,7770.0,5671.0,0.4602,,0.2122,,0.1722,,,,,34678.516556,15553.308483,7382,5500,853,369,250,708,199,620,0.5935314685,0.4017,0.5983
7,Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,1,3,3,1,5,22.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0501,0.0,0.0,0.015,0.0225,0.005,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2904.0,,,,,7921.0,0.445,,,,,,,,,58970.547297,30649.001791,13745,12500,1238,500,437,1080,343,928,0.6867392697,0.3485,0.6515
8,Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,9.0,12.0,,0.7871,450.0,520.0,485.0,470.0,540.0,505.0,,,,19.0,19.0,17.0,,23.0,25.0,22.0,,21.0,22.0,20.0,,990.0,0.0,0.0,0.0,0.0571,0.0067,0.0235,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4142.0,18665.0,,9350.0,20210.0,7588.0,0.9539,0.2038,,0.2115,,0.2278,0.166,0.3,0.3,44217.987069,21935.265125,10750,9500,1895,834,711,1561,570,1357,0.6838975297,0.3595,0.6405
9,Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,16.0,15.0,15.0,,0.7766,530.0,630.0,580.0,540.0,650.0,595.0,520.0,620.0,570.0,24.0,25.0,23.0,7.0,30.0,32.0,28.0,8.0,27.0,29.0,26.0,8.0,1218.0,0.0066,0.1741,0.0,0.0873,0.0091,0.0135,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,21551.0,29164.0,,10424.0,28040.0,9738.0,0.8734,0.7292,,0.7188,,0.7464,0.5597,0.6842,0.6905,95514.849097,20907.625561,18500,16250,2674,2767,2507,2391,2258,2078,0.5205963123,0.5095,0.4905
10,Birmingham Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,1,3,3,2,5,21.0,14.0,11.0,71.0,0.5306,480.0,590.0,535.0,500.0,610.0,555.0,,,,23.0,23.0,22.0,,29.0,30.0,28.0,,26.0,27.0,25.0,,1167.0,0.0,0.009000000000000001,0.0,0.1261,0.0405,0.0721,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1346.0,46730.0,,33128.0,33128.0,7078.0,0.6164,0.6108,,0.627,,0.6217,0.4615,0.4167,0.8421,90447.104545,5248.4,19500,18889.5,219,241,178,187,120,164,0.5133333333,0.5022,0.4978
11,Chattahoochee Valley Community College,Phenix City,AL,36869,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0575,0.0,0.0354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,6920.0,,4380.0,7830.0,5906.0,0.2992,,0.1538,,0.1376,,,,,30878.890157,21829.786723,6334,4750,204,53,116,341,161,379,0.6103619588,0.387,0.613
12,Concordia College Alabama,Selma,AL,36701,Southern Association of Colleges and Schools Commission on Colleges,1,2,3,2,5,22.0,11.0,8.0,68.0,0.4034,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,27036.0,,10320.0,10320.0,5605.0,0.377,0.2101,,0.1458,,0.0,0.2286,0.0,0.0,22727.373494,5779.6170213,11000,5500,218,415,199,124,53,17,0.2809430255,0.5541,0.4459
13,South University-Montgomery,Montgomery,AL,36116,Southern Association of Colleges and Schools Commission on Colleges,16,3,4,3,5,23.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,27628.0,,16761.0,16761.0,4446.0,0.2125,0.069,,0.0792,,0.1538,0.0233,0.0,,39044.258671,24805.598043,9500,9500,22735,6265,5603,19122,1669,6611,0.7661442995,0.25,0.75
14,Enterprise State Community College,Enterprise,AL,36330-1300,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.0,9345.0,,4320.0,7770.0,6300.0,0.3803,,0.1267,,0.1026,,,,,35264.827035,17702.509018,5362,5499,351,634,460,279,202,227,0.5046335299,0.5177,0.4823
15,James H Faulkner State Community College,Bay Minette,AL,36507-2698,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4372.0,11578.0,,4320.0,7770.0,5988.0,0.6123,,0.1194,,0.1146,,,,,41063.111319,21851.370995,5500,5500,1510,687,535,1146,415,848,0.6597472924,0.384,0.616
16,Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,2,5,22.0,9.0,10.0,74.0,0.573,430.0,520.0,475.0,440.0,510.0,475.0,430.0,510.0,470.0,18.0,18.0,16.0,,24.0,24.0,23.0,,21.0,21.0,20.0,,985.0,0.0112,0.0,0.0,0.0112,0.0037,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2282.0,30539.0,,19280.0,19280.0,5973.0,0.4542,0.2109,,0.2553,,0.2356,0.1356,0.4,0.0,52021.204216,24691.650635,17500,9500,1587,695,626,1516,601,1263,0.6082751209,0.3874,0.6126
17,Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,1,5,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0176,0.0,0.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4613.0,9607.0,,3216.0,5976.0,6046.0,0.4917,,0.1964,,0.1568,,,,,22315.005181,13465.068838,PrivacySuppressed,PrivacySuppressed,,,,,,,0.6155440415,0.3909,0.6091
18,New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,1,1,1,3,5,-3.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,,13559.0,,,,,,0.7,,0.7155,,,,,35786.608696,16473.393939,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,,PrivacySuppressed,0.0,1.0
19,George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0142,0.0,0.079,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4173.0,8899.0,,4260.0,7710.0,5665.0,0.5752,,0.2,,0.1721,,,,,21195.060741,14720.450692,PrivacySuppressed,PrivacySuppressed,,,,,,,0.6640063847,0.3412,0.6588
20,George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0127,0.0,0.0437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4821.0,11483.0,,4320.0,7770.0,5959.0,0.3325,,0.3457,,0.2923,,,,,43227.243448,21556.055285,8735,5500,2083,1056,805,1766,565,1280,0.6225886745,0.37,0.63
21,George C Wallace State Community College-Selma,Selma,AL,36703-2808,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0151,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0,14195.0,,4020.0,7470.0,5232.0,0.552,,0.1721,,0.1879,,,,,15835.747266,11126.483568,PrivacySuppressed,PrivacySuppressed,,,,,,,0.6196957566,0.3427,0.6573
22,Herzing University-Birmingham,Birmingham,AL,35209,North Central Association of Colleges and Schools The Higher Learning Commission,11,1,4,3,5,22.0,5.0,6.0,,0.9541,,,,,,,,,,,,,,,,,,,,,,,0.0169,0.0,0.0506,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,26546.0,,13090.0,13090.0,5206.0,0.3,0.4194,,0.4118,,0.7273,0.25,,,41936.911338,21984.718306,11332,9500,6961,1721,988,3368,542,1338,0.8160972785,0.4889,0.5111
23,Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,1,3,3,2,5,22.0,9.0,7.0,71.0,0.5769,440.0,550.0,495.0,450.0,568.0,509.0,,,,19.0,18.0,16.0,,23.0,24.0,22.0,,21.0,21.0,19.0,,992.0,0.0,0.0,0.0,0.0823,0.0173,0.0303,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1160.0,33434.0,,25050.0,25050.0,5911.0,0.4320000000000001,0.4135,,0.4327,,0.4083,0.4222,0.3,,62919.653277,28468.466292,19500,12546.5,331,350,261,288,211,198,0.5069124424,0.4991,0.5009
24,Heritage Christian University,Florence,AL,35630-9977,Association for Bibical Higher Educaiton,1,3,4,2,5,24.0,5.0,6.0,74.0,0.7,380.0,660.0,520.0,400.0,610.0,505.0,300.0,560.0,430.0,14.0,11.0,16.0,11.0,17.0,16.0,17.0,12.0,16.0,14.0,17.0,12.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,19530.0,,9792.0,9792.0,3439.0,1.0,0.0,,0.1667,,0.0,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9483,0.0517
25,J F Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0476,0.0,0.1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,12168.0,,4290.0,7740.0,5499.0,0.4697,,0.1301,,0.1246,,,,,20255.119048,13358.487037,PrivacySuppressed,PrivacySuppressed,,,,,,,0.551558753,0.4524,0.5476
26,Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,13.0,13.0,,0.6665,450.0,550.0,500.0,440.0,550.0,495.0,,,,20.0,20.0,18.0,,26.0,28.0,25.0,,23.0,24.0,22.0,,1062.0,0.0226,0.0,0.0264,0.0444,0.0075,0.0128,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6625.0,20030.0,,7500.0,14700.0,6795.0,0.6952,0.3107,,0.3057,,0.3652,0.2242,0.2667,0.1667,51540.479439,30160.323607,18000,14250,2458,1623,1549,2118,1212,1741,0.5753282654,0.4312,0.5688
27,Jefferson Davis Community College,Brewton,AL,36426,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0,9175.0,,4028.0,7478.0,5724.0,0.4795,,0.3029,,0.2427,,,,,21057.352645,17069.772388,PrivacySuppressed,PrivacySuppressed,,,,,,,0.6195488722,0.4392,0.5608
28,Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,7.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0534,0.0,0.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7381.0,13311.0,,4380.0,7830.0,6148.0,0.3196,,0.0753,,0.0609,,,,,44131.908529,22213.261318,4500,3870,1905,964,576,1253,417,1065,0.6610738255,0.3842,0.6158
29,John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0427,0.0,0.1223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8547.0,9835.0,,4320.0,7770.0,6156.0,0.2874,,0.1545,,0.1408,,,,,43152.473321,21891.776584,6024.5,5500,2218,1272,939,1806,674,1441,0.6019059996,0.4483,0.5517
30,Judson College,Marion,AL,36756,Southern Association of Colleges and Schools Commission on Colleges,1,3,3,2,5,21.0,9.0,7.0,54.0,0.6292,480.0,560.0,520.0,400.0,660.0,530.0,,,,19.0,19.0,17.0,,25.0,25.0,23.0,,22.0,22.0,20.0,,1031.0,0.0,0.0,0.0,0.1231,0.0,0.0462,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,373.0,29742.0,,16868.0,16868.0,5545.0,0.5789,0.4118,,0.4233,,0.4035,0.4286,0.6667,0.0,52966.289855,7570.0639269,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0402,0.9598
31,Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,1,5,7.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0411,0.0,0.2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0,13595.0,,4320.0,7770.0,5793.0,0.4265,,0.1329,,0.1106,,,,,19847.262316,12376.62359,PrivacySuppressed,PrivacySuppressed,,,,,,,0.5815602837,0.4156,0.5844
32,University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,13.0,13.0,,0.7347,430.0,530.0,480.0,360.0,560.0,460.0,420.0,530.0,475.0,18.0,18.0,19.0,,21.0,22.0,20.0,,20.0,20.0,20.0,,930.0,0.0,0.0,0.0245,0.0776,0.0286,0.0163,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1913.0,17848.0,,8734.0,15878.0,5938.0,0.5333,0.2883,,0.3099,,0.3597,0.2109,0.6667,,45683.884259,15601.827586,14500,10250,1034,628,491,798,396,570,0.5346715328,0.4459,0.5541
33,Lurleen B Wallace Community College,Andalusia,AL,36420-1418,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0308,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.0,12603.0,,4320.0,7770.0,5797.0,0.5318,,0.2722,,0.2314,,,,,22758.413015,14999.346369,PrivacySuppressed,PrivacySuppressed,,,,,,,0.6165616562,0.4051,0.5949
34,Marion Military Institute,Marion,AL,36756-3207,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,1.0,4.0,1.0,,0.5918,480.0,580.0,530.0,500.0,600.0,550.0,,,,19.0,18.0,18.0,,26.0,25.0,26.0,,23.0,22.0,22.0,,1061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,16328.0,,8778.0,14778.0,5886.0,0.8696,,0.2992,,0.2835,,,,,71476.698551,4278.5,6793,5500,47,240,169,33,99,23,0.1968503937,0.8022,0.1978
35,Miles College,Fairfield,AL,35064-2621,Southern Association of Colleges and Schools Commission on Colleges,1,3,3,2,5,22.0,11.0,11.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,0.0409,0.0,0.0,0.0864,0.0045,0.0091,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1869.0,22168.0,,11604.0,11604.0,4337.0,0.7937,0.2015,,0.2016,,0.3333,0.2037,0.0,,27219.602917,9323.1259843,15171.5,9755.5,752,825,638,717,669,732,0.4771505376,0.5029,0.4971
36,University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,2,5,22.0,13.0,10.0,75.0,0.6051,430.0,540.0,485.0,420.0,580.0,500.0,,,,19.0,19.0,17.0,,25.0,26.0,24.0,,22.0,23.0,21.0,,1025.0,0.0121,0.0,0.0,0.0394,0.0121,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1437.0,32349.0,,20470.0,20470.0,5028.0,1.0,0.4454,,0.4274,,0.5202,0.2188,0.0,,63195.468917,25705.633803,21500,16500,692,265,250,594,185,549,0.6800472255,0.3681,0.6319
37,University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,19.0,13.0,10.0,,0.7001,455.0,595.0,525.0,475.0,580.0,528.0,470.0,585.0,528.0,20.0,21.0,18.0,,26.0,28.0,24.0,,23.0,25.0,21.0,,1069.0,0.0,0.0,0.0,0.0433,0.0233,0.0233,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2553.0,22840.0,,11410.0,22780.0,7496.0,0.6594,0.4474,,0.4454,,0.4735,0.4211,0.3333,0.3667,58926.986942,14004.241573,17750,13000,738,383,310,695,274,610,0.6672743847,0.3298,0.6702
38,Northwest-Shoals Community College,Muscle Shoals,AL,35661,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0178,0.0,0.0373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3047.0,11060.0,,4291.0,7741.0,5923.0,0.5091,,0.1321,,0.1234,,,,,34691.630534,17676.507444,5500,5000,999,567,449,887,337,767,0.6011342155,0.4099,0.5901
39,University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,1,5,18.0,13.0,12.0,,0.58,398.0,560.0,479.0,410.0,535.0,473.0,,,,19.0,20.0,17.0,,25.0,26.0,24.0,,22.0,23.0,21.0,,1027.0,0.0083,0.0,0.0,0.0417,0.0052,0.024,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5698.0,16135.0,,7774.0,13870.0,7393.0,0.9927,0.3778,,0.3831,,0.4284,0.1832,0.3125,,56703.955875,22404,14078,12000,1441,1016,1085,1220,787,1019,0.5881642512,0.4161,0.5839
40,Northeast Alabama Community College,Rainsville,AL,35986,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0364,0.0,0.1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.0,8230.0,,4320.0,7770.0,6050.0,0.3718,,0.2715,,0.2787,,,,,33053.209783,16833.595745,3500,3297,503,253,207,504,163,416,0.6165622825,0.3712,0.6288
41,Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,1,3,4,2,5,22.0,10.0,11.0,95.0,0.4749,410.0,540.0,475.0,380.0,500.0,440.0,,,,17.0,17.0,16.0,,22.0,23.0,21.0,,20.0,20.0,19.0,,923.0,0.0147,0.0,0.0,0.132,0.0117,0.0029,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1687.0,35546.0,,16720.0,16720.0,4439.0,0.7018,0.4162,,0.4278,,,0.4083,0.0,1.0,57529.41821,18083.443609,26375,26000,517,400,373,508,286,423,0.5608194622,0.4203,0.5797
42,Alabama Southern Community College,Monroeville,AL,36460,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,1,5,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.1864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.0,10823.0,,4320.0,7770.0,5770.0,0.5955,,0.3269,,0.2854,,,,,19620.418768,10288.651822,PrivacySuppressed,PrivacySuppressed,,,,,,,0.627471384,0.3858,0.6142
43,Prince Institute-Southeast,Elmhurst,IL,60126,,2,2,2,3,3,10.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,10485.0,10485.0,,,,0.25,,0.2481,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.08,0.92
44,Reid State Technical College,Evergreen,AL,36401,Council on Occupational Education,1,1,2,1,5,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,9233.0,,4380.0,7830.0,5786.0,0.7667,,0.3614,,0.2923,,,,,18507.823171,13452.186722,PrivacySuppressed,PrivacySuppressed,,,,,,,0.7456790123,0.3057,0.6943
45,Bishop State Community College,Mobile,AL,36603-5898,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,1,5,7.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0167,0.0,0.0669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701.0,10193.0,,4320.0,7770.0,6098.0,0.6463,,0.1083,,0.0982,,,,,18259.951524,10749.595908,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,,0.5945739396,0.398,0.602
